time,open,high,low,close,volume
1755084659999,0.091,0.10796,0.091,0.10393,7935724.0
1755084719999,0.10394,0.10632,0.09828,0.0994,9407179.0
1755084779999,0.09937,0.102,0.09843,0.09999,4494365.0
1755084839999,0.09993,0.10187,0.09533,0.1001,6939898.0
1755084899999,0.10013,0.10358,0.10013,0.10243,3465212.0
1755084959999,0.10259,0.10666,0.10203,0.10577,6112433.0
1755085019999,0.1058,0.10913,0.10259,0.10764,6629516.0
1755085079999,0.10762,0.11,0.10394,0.10674,7587480.0
1755085139999,0.1068,0.107,0.10443,0.10595,2701817.0
1755085199999,0.10587,0.1085,0.10435,0.10457,4492205.0
1755085259999,0.10458,0.10527,0.10256,0.10319,4237861.0
1755085319999,0.10318,0.10396,0.101,0.10343,5103165.0
1755085379999,0.1034,0.10505,0.10311,0.10371,2483735.0
1755085439999,0.10363,0.10636,0.10291,0.10625,3132133.0
1755085499999,0.10615,0.10652,0.10326,0.10413,2625928.0
1755085559999,0.10411,0.10542,0.10318,0.10384,1367319.0
1755085619999,0.10384,0.105,0.1003,0.10156,3929929.0
1755085679999,0.10156,0.10385,0.10151,0.10268,1769540.0
1755085739999,0.10263,0.10324,0.10157,0.10257,1259496.0
1755085799999,0.10256,0.103,0.10093,0.103,1443798.0
1755085859999,0.10299,0.10689,0.10183,0.10366,3491683.0
1755085919999,0.10359,0.10511,0.10336,0.10459,1534355.0
1755085979999,0.10453,0.10502,0.10302,0.10493,1378225.0
1755086039999,0.10496,0.106,0.1045,0.10518,1577168.0
1755086099999,0.10511,0.10721,0.1044,0.10675,1651799.0
1755086159999,0.10681,0.11432,0.10605,0.11161,9218847.0
1755086219999,0.11147,0.12125,0.11,0.11771,13155606.0
1755086279999,0.1175,0.12199,0.11431,0.12095,11788901.0
1755086339999,0.12116,0.1232,0.11882,0.1204,9213296.0
1755086399999,0.1204,0.12555,0.11834,0.12512,12604381.0
1755086459999,0.12511,0.13086,0.12201,0.12322,18495881.0
1755086519999,0.12323,0.12335,0.11895,0.12126,9423259.0
1755086579999,0.12105,0.12165,0.11855,0.12085,5162952.0
1755086639999,0.12088,0.121,0.1162,0.11677,7983786.0
1755086699999,0.11681,0.1194,0.115,0.11725,7358311.0
1755086759999,0.11726,0.11895,0.1155,0.11788,5492987.0
1755086819999,0.11795,0.11841,0.11658,0.11792,2060683.0
1755086879999,0.11792,0.11798,0.1136,0.11719,7265197.0
1755086939999,0.11719,0.11833,0.11559,0.11756,3444883.0
1755086999999,0.11752,0.1195,0.11659,0.11829,5708622.0
1755087059999,0.11827,0.12178,0.11721,0.12107,6507390.0
1755087119999,0.12112,0.12117,0.11856,0.11866,3664318.0
1755087179999,0.1186,0.1186,0.11659,0.11716,3828680.0
1755087239999,0.1171,0.11825,0.11558,0.11776,4052322.0
1755087299999,0.11776,0.119,0.11709,0.11886,2347021.0
1755087359999,0.11888,0.12178,0.11772,0.11977,6029523.0
1755087419999,0.11985,0.12095,0.1162,0.11652,7061759.0
1755087479999,0.11641,0.11679,0.11169,0.11354,14325170.0
1755087539999,0.11354,0.115,0.11248,0.11475,4847676.0
1755087599999,0.11474,0.11562,0.11207,0.11301,5889313.0
1755087659999,0.11307,0.114,0.10491,0.10585,18329543.0
1755087719999,0.10584,0.10764,0.10046,0.10278,27550052.0
1755087779999,0.10278,0.10432,0.10032,0.10157,8483463.0
1755087839999,0.10157,0.10457,0.1,0.10347,7704568.0
1755087899999,0.10347,0.10482,0.10233,0.10236,5404079.0
1755087959999,0.10233,0.10474,0.10134,0.10456,5088052.0
1755088019999,0.10456,0.10528,0.1036,0.10382,3779647.0
1755088079999,0.10388,0.10763,0.1035,0.10528,10193659.0
1755088139999,0.1052,0.107,0.1049,0.10575,2801915.0
1755088199999,0.10574,0.10738,0.10557,0.10681,2216571.0
1755088259999,0.10683,0.1083,0.10346,0.10427,7296571.0
1755088319999,0.10423,0.10592,0.1025,0.10582,5169867.0
1755088379999,0.1058,0.10914,0.10573,0.10671,5225126.0
1755088439999,0.10671,0.10794,0.1035,0.10354,3657997.0
1755088499999,0.10361,0.10523,0.10267,0.10284,4871201.0
1755088559999,0.10279,0.10585,0.10127,0.10539,5767774.0
1755088619999,0.10537,0.10749,0.10431,0.10671,3350532.0
1755088679999,0.10667,0.10718,0.10606,0.10685,1323590.0
1755088739999,0.10685,0.1079,0.106,0.10629,2943740.0
1755088799999,0.10634,0.10748,0.10632,0.1065,1324318.0
1755088859999,0.10652,0.1085,0.1051,0.10642,3913127.0
1755088919999,0.1064,0.10767,0.10637,0.10744,1716175.0
1755088979999,0.10748,0.10865,0.10703,0.10861,3065899.0
1755089039999,0.10856,0.1099,0.107,0.10973,4792872.0
1755089099999,0.10975,0.1099,0.10801,0.10863,3217426.0
1755089159999,0.10869,0.11079,0.10666,0.10736,5101652.0
1755089219999,0.10726,0.10915,0.10713,0.10895,2006166.0
1755089279999,0.10895,0.10997,0.10852,0.10973,1886204.0
1755089339999,0.1097,0.11124,0.10902,0.11061,4441368.0
1755089399999,0.11063,0.11147,0.1102,0.11112,2555811.0
1755089459999,0.11115,0.1123,0.11038,0.11191,3456497.0
1755089519999,0.11197,0.11199,0.11074,0.11139,2139739.0
1755089579999,0.11142,0.11172,0.11038,0.11153,2913337.0
1755089639999,0.11151,0.11167,0.10933,0.10935,2241795.0
1755089699999,0.10933,0.11088,0.10928,0.11,2179115.0
1755089759999,0.10997,0.11018,0.10711,0.10778,5229440.0
1755089819999,0.10771,0.10912,0.10728,0.10811,2325910.0
1755089879999,0.10808,0.10872,0.10413,0.10591,4334298.0
1755089939999,0.10589,0.10622,0.10335,0.1053,5923532.0
1755089999999,0.10522,0.1064,0.105,0.10564,2277504.0
1755090059999,0.10568,0.10815,0.10313,0.10368,6021493.0
1755090119999,0.10367,0.1047,0.10301,0.10429,4322827.0
1755090179999,0.10427,0.10842,0.10427,0.10763,4604222.0
1755090239999,0.10764,0.1095,0.10641,0.10678,3703770.0
1755090299999,0.10678,0.10795,0.10539,0.10786,2658150.0
1755090359999,0.10791,0.10922,0.10782,0.10873,2093515.0
1755090419999,0.10872,0.1095,0.10612,0.10666,3851288.0
1755090479999,0.10666,0.10878,0.10657,0.10856,1313583.0
1755090539999,0.10862,0.10943,0.10818,0.10906,1732987.0
1755090599999,0.10908,0.11,0.109,0.11,1492744.0
1755090659999,0.10997,0.111,0.10924,0.11036,2672228.0
1755090719999,0.11035,0.11335,0.11007,0.11243,5723202.0
1755090779999,0.11238,0.11243,0.111,0.111,2842671.0
1755090839999,0.111,0.11375,0.111,0.11265,2794007.0
1755090899999,0.11267,0.1147,0.11255,0.11341,5196441.0
1755090959999,0.11336,0.115,0.11158,0.11454,5785130.0
1755091019999,0.11454,0.11496,0.112,0.11348,4817862.0
1755091079999,0.11349,0.11423,0.11253,0.11299,2801246.0
1755091139999,0.11299,0.11459,0.11299,0.11366,2431407.0
1755091199999,0.11364,0.11407,0.11037,0.11147,5437797.0
1755091259999,0.1115,0.11257,0.11044,0.11228,3910534.0
1755091319999,0.11228,0.11389,0.11195,0.11263,2162744.0
1755091379999,0.11263,0.11357,0.1126,0.11296,1212191.0
1755091439999,0.11296,0.11342,0.11256,0.11315,1276936.0
1755091499999,0.11298,0.11394,0.11205,0.11394,2072366.0
1755091559999,0.11394,0.11689,0.11389,0.11649,7413998.0
1755091619999,0.11652,0.11731,0.1158,0.11698,3004017.0
1755091679999,0.11694,0.1177,0.11478,0.11596,5584263.0
1755091739999,0.11593,0.11685,0.11535,0.11662,2098352.0
1755091799999,0.11665,0.11784,0.11652,0.11745,3447188.0
1755091859999,0.11738,0.1189,0.11664,0.1173,5962599.0
1755091919999,0.1173,0.11782,0.1158,0.11661,3725163.0
1755091979999,0.11662,0.11737,0.11462,0.11523,4517804.0
1755092039999,0.11524,0.116,0.11523,0.11523,2027010.0
1755092099999,0.11524,0.1155,0.112,0.11236,6895390.0
1755092159999,0.11237,0.11318,0.111,0.11299,6136761.0
1755092219999,0.11299,0.11513,0.11281,0.1145,3628178.0
1755092279999,0.11454,0.11598,0.11398,0.11584,2973198.0
1755092339999,0.11584,0.11595,0.1145,0.11504,2289568.0
1755092399999,0.11504,0.11584,0.11381,0.1144,3107630.0
1755092459999,0.11444,0.11518,0.11414,0.115,1938452.0
1755092519999,0.11503,0.1167,0.11462,0.116,2741720.0
1755092579999,0.116,0.11821,0.11559,0.11741,4741351.0
1755092639999,0.11741,0.1176,0.11613,0.11633,2941337.0
1755092699999,0.11627,0.1169,0.11591,0.11658,2121615.0
1755092759999,0.11658,0.117,0.1148,0.11523,4190492.0
1755092819999,0.11524,0.116,0.11501,0.11573,2433928.0
1755092879999,0.11571,0.1162,0.11511,0.11555,1913735.0
1755092939999,0.1155,0.11554,0.11262,0.11373,5495285.0
1755092999999,0.11366,0.11408,0.11216,0.11346,4091270.0
1755093059999,0.11344,0.11447,0.1125,0.11263,3377494.0
