time,open,high,low,close,volume
1754413259999,0.3,1.1074,0.3,0.6668,10783842.5
1754413319999,0.6668,0.6936,0.6371,0.6894,4613549.9
1754413379999,0.6919,0.7414,0.685,0.699,4092347.9
1754413439999,0.699,0.73,0.6964,0.7062,2384845.0
1754413499999,0.7062,0.7182,0.6959,0.6998,1669374.4
1754413559999,0.6995,0.7005,0.66,0.6636,1377246.9
1754413619999,0.6636,0.6654,0.625,0.6372,1640586.7
1754413679999,0.6373,0.6579,0.62,0.6268,1761759.0
1754413739999,0.6252,0.6269,0.6014,0.607,1737224.1
1754413799999,0.607,0.6296,0.6049,0.6234,1606974.7
1754413859999,0.6227,0.6245,0.6079,0.6138,993716.1
1754413919999,0.6134,0.625,0.602,0.6067,1389563.7
1754413979999,0.6069,0.6282,0.6067,0.6186,1022188.9
1754414039999,0.6181,0.6291,0.61,0.6196,807441.9
1754414099999,0.6196,0.642,0.6192,0.6326,1021823.1
1754414159999,0.6327,0.6369,0.6251,0.6301,667357.0
1754414219999,0.6309,0.6456,0.6305,0.6387,827816.2
1754414279999,0.6387,0.6435,0.6263,0.6274,744723.2
1754414339999,0.6272,0.6392,0.6251,0.63,503315.5
1754414399999,0.63,0.635,0.6225,0.624,468552.6
1754414459999,0.6236,0.6267,0.6178,0.6199,464362.4
1754414519999,0.6199,0.6299,0.6189,0.6265,559166.8
1754414579999,0.6258,0.6272,0.606,0.6067,500184.7
1754414639999,0.6062,0.612,0.5924,0.5955,987746.5
1754414699999,0.595,0.6059,0.5861,0.6026,1048133.8
1754414759999,0.6023,0.6027,0.5892,0.5933,497992.1
1754414819999,0.5938,0.6017,0.5931,0.5999,639116.8
1754414879999,0.6002,0.6002,0.5937,0.5953,371847.1
1754414939999,0.5957,0.5964,0.5891,0.5908,422537.4
1754414999999,0.5908,0.5977,0.5893,0.5932,395170.9
1754415059999,0.593,0.5933,0.5821,0.5856,714523.8
1754415119999,0.5853,0.5917,0.5828,0.5844,581892.2
1754415179999,0.5839,0.5925,0.5801,0.5896,409629.4
1754415239999,0.5901,0.6116,0.5894,0.6039,662772.5
1754415299999,0.6036,0.6085,0.5992,0.6063,305810.6
1754415359999,0.6068,0.6181,0.6051,0.6057,529472.6
1754415419999,0.6056,0.6132,0.6051,0.6089,230629.6
1754415479999,0.6089,0.6157,0.607,0.6144,379653.5
1754415539999,0.6154,0.6257,0.6137,0.619,466959.4
1754415599999,0.6189,0.6206,0.6064,0.6119,295899.2
1754415659999,0.6121,0.6153,0.6083,0.6128,319461.7
1754415719999,0.613,0.6194,0.6127,0.6182,346992.0
1754415779999,0.6187,0.6254,0.6183,0.6244,283979.9
1754415839999,0.6245,0.6317,0.6206,0.6269,506200.8
1754415899999,0.6275,0.6364,0.625,0.6273,578290.1
1754415959999,0.6268,0.6287,0.6127,0.6165,542530.7
1754416019999,0.6165,0.6249,0.6149,0.6216,208304.3
1754416079999,0.6217,0.6279,0.614,0.6215,367503.5
1754416139999,0.6212,0.6267,0.6197,0.6226,215321.9
1754416199999,0.6223,0.6508,0.6222,0.6434,632644.0
1754416259999,0.6434,0.66,0.6397,0.6507,556446.5
1754416319999,0.6506,0.6663,0.6506,0.6663,497419.2
1754416379999,0.6664,0.6771,0.6616,0.6682,1058432.6
1754416439999,0.6679,0.6759,0.6616,0.6713,525105.8
1754416499999,0.6718,0.687,0.669,0.6798,472328.0
1754416559999,0.6791,0.6799,0.6701,0.677,438811.0
1754416619999,0.6768,0.6868,0.665,0.6652,442167.7
1754416679999,0.6655,0.6765,0.6492,0.6582,688207.8
1754416739999,0.6588,0.6769,0.6509,0.6684,441617.9
1754416799999,0.6682,0.6774,0.6619,0.6672,297195.7
1754416859999,0.668,0.6717,0.6503,0.6709,414356.4
1754416919999,0.6704,0.6709,0.6561,0.6631,182678.8
1754416979999,0.6627,0.6653,0.6568,0.6629,173615.6
1754417039999,0.6627,0.6715,0.6578,0.6652,221832.7
1754417099999,0.665,0.6699,0.664,0.6671,136059.0
1754417159999,0.6672,0.68,0.6655,0.6777,368520.6
1754417219999,0.6779,0.6845,0.667,0.6733,478691.4
1754417279999,0.6727,0.6744,0.6659,0.6667,267909.0
1754417339999,0.6682,0.6747,0.6642,0.6704,344968.2
1754417399999,0.6702,0.68,0.6676,0.6786,240377.1
1754417459999,0.6785,0.6798,0.6754,0.678,233094.4
1754417519999,0.678,0.6786,0.6713,0.6764,258784.3
1754417579999,0.6766,0.6774,0.675,0.6774,119796.5
1754417639999,0.6773,0.6969,0.6765,0.6969,1124743.7
1754417699999,0.6969,0.6988,0.6892,0.6977,532430.9
1754417759999,0.6982,0.6995,0.6901,0.6906,459154.8
1754417819999,0.6901,0.71,0.69,0.7091,744515.5
1754417879999,0.7098,0.7099,0.705,0.706,345315.9
1754417939999,0.7056,0.7058,0.6818,0.6891,491702.0
1754417999999,0.6892,0.6903,0.67,0.6795,519014.1
1754418059999,0.6795,0.6795,0.6618,0.6701,579663.8
1754418119999,0.6694,0.6701,0.6632,0.6678,395994.9
1754418179999,0.6678,0.6792,0.6668,0.6759,256570.7
1754418239999,0.6754,0.6843,0.6736,0.681,213951.5
1754418299999,0.681,0.6811,0.6737,0.6763,118666.2
1754418359999,0.6766,0.6767,0.6614,0.6619,443616.9
1754418419999,0.6613,0.6725,0.6613,0.6677,119073.0
1754418479999,0.6672,0.6681,0.6613,0.6635,145314.1
1754418539999,0.664,0.6664,0.6626,0.6648,90119.3
1754418599999,0.6652,0.6712,0.664,0.6706,165115.9
1754418659999,0.6711,0.6752,0.6613,0.6645,195709.2
1754418719999,0.6642,0.6669,0.6584,0.6644,380547.6
1754418779999,0.6642,0.6729,0.6603,0.6675,284854.0
1754418839999,0.6679,0.6768,0.6679,0.6752,159723.1
1754418899999,0.6752,0.685,0.672,0.685,213505.9
1754418959999,0.6851,0.69,0.6824,0.689,291855.2
1754419019999,0.6885,0.7052,0.687,0.6903,538228.1
1754419079999,0.6904,0.6923,0.6833,0.6892,282990.9
1754419139999,0.6886,0.6908,0.6756,0.6902,313061.3
1754419199999,0.6896,0.697,0.6878,0.6897,187686.5
1754419259999,0.6893,0.6893,0.6835,0.6868,141199.0
1754419319999,0.6873,0.6949,0.687,0.6909,172493.2
1754419379999,0.6912,0.6969,0.6898,0.6963,184445.7
1754419439999,0.6963,0.7034,0.694,0.7021,253308.4
1754419499999,0.7031,0.7033,0.6953,0.6984,122081.2
1754419559999,0.6984,0.6993,0.6879,0.6902,170029.5
1754419619999,0.6904,0.71,0.6901,0.7074,497313.5
1754419679999,0.708,0.7271,0.7072,0.7196,863489.6
1754419739999,0.7195,0.76,0.7169,0.7489,1532201.9
1754419799999,0.7489,0.756,0.7362,0.7444,688220.1
1754419859999,0.7444,0.8277,0.7444,0.8126,1658279.3
1754419919999,0.8112,0.9058,0.81,0.8729,2065362.1
1754419979999,0.8693,0.9071,0.8098,0.9071,1579562.7
1754420039999,0.9061,0.9079,0.8663,0.8767,927258.0
1754420099999,0.877,0.919,0.875,0.9118,1387999.2
1754420159999,0.9118,0.914,0.8511,0.8691,1143766.8
1754420219999,0.8691,0.8874,0.8301,0.8415,997597.5
1754420279999,0.8409,0.8707,0.828,0.8543,623775.4
1754420339999,0.8542,0.8708,0.8542,0.8562,400914.4
1754420399999,0.8562,0.8779,0.8545,0.8677,348758.7
1754420459999,0.8678,0.9,0.86,0.8992,760190.6
1754420519999,0.8989,0.9168,0.8848,0.908,898424.9
1754420579999,0.908,0.9106,0.861,0.8813,1015131.0
1754420639999,0.882,0.8898,0.8668,0.8811,493796.8
1754420699999,0.8811,0.9093,0.8744,0.908,599641.4
1754420759999,0.9088,0.9349,0.8991,0.9248,1135735.3
1754420819999,0.925,0.94,0.9042,0.9125,815178.1
1754420879999,0.9127,0.9235,0.8957,0.9209,546607.8
1754420939999,0.922,0.922,0.903,0.9135,250136.9
1754420999999,0.9145,0.9346,0.9013,0.9199,574154.8
1754421059999,0.9192,0.9271,0.9054,0.922,557765.2
1754421119999,0.9214,0.9249,0.91,0.9116,277827.6
1754421179999,0.9123,0.9206,0.9034,0.9077,492405.9
1754421239999,0.9077,0.9092,0.87,0.8901,959577.0
1754421299999,0.8889,0.903,0.8769,0.8926,420294.5
1754421359999,0.8921,0.906,0.882,0.9022,389657.1
1754421419999,0.9018,0.9231,0.9006,0.9115,560605.0
1754421479999,0.9118,0.9229,0.91,0.9103,406623.0
1754421539999,0.9107,0.92,0.905,0.9149,358946.4
1754421599999,0.9142,0.9142,0.907,0.9107,218004.4
1754421659999,0.9114,0.9128,0.8817,0.8945,556828.2
1754421719999,0.8945,0.8945,0.8541,0.8768,804994.9
1754421779999,0.8768,0.8777,0.864,0.871,332067.6
1754421839999,0.8707,0.8945,0.864,0.8801,315912.4
1754421899999,0.8801,0.9,0.8801,0.8864,338721.3
1754421959999,0.886,0.8964,0.8613,0.8696,514270.8
1754422019999,0.8688,0.873,0.861,0.8636,236735.1
